Thread   Start(us)  B/E     Dur(us)  Name/Detail
------  ----------  ---  ----------  ------------------------------
   259      700795  BEG           8  AnnotateKernels
   259      700803  END           8  AnnotateKernels
   259      700804  BEG           1  VerifyKernels
   259      700805  END           1  VerifyKernels
   259      700805  BEG           0  LowerSemanticCF
   259      700806  END           0  LowerSemanticCF
   259      700806  BEG           7  CheckLifetimes
   259      700809  BEG           3  (A) SymbolTableAnalysis
   259      700813  END           3  (A) SymbolTableAnalysis
   259      700813  END           7  CheckLifetimes
   259    17181508  BEG           4  AnnotateKernels
   259    17181512  END           4  AnnotateKernels
   259    17181513  BEG           0  VerifyKernels
   259    17181513  END           0  VerifyKernels
   259    17181513  BEG           0  LowerSemanticCF
   259    17181513  END           0  LowerSemanticCF
   259    17181513  BEG           4  CheckLifetimes
   259    17181515  BEG           2  (A) SymbolTableAnalysis
   259    17181517  END           2  (A) SymbolTableAnalysis
   259    17181518  END           4  CheckLifetimes
